Category Came,Category Url
Koppel,http://www.lazada.com.ph/shop-air-conditioners/koppel/
Hanabishi,http://www.lazada.com.ph/shop-home-appliances/hanabishi/
Singer,http://www.lazada.com.ph/shop-sewing-machines/singer/
American Heritage,http://www.lazada.com.ph/shop-home-appliances/american-heritage/
Ikea,http://www.lazada.com.ph/shop-furniture/ikea/
Uratex,http://www.lazada.com.ph/shop-furniture/uratex/
Wilton,http://www.lazada.com.ph/shop-baking-tools-accessories/wilton/
Cofta,http://www.lazada.com.ph/shop-furniture/cofta/
Stanley,http://www.lazada.com.ph/shop-hand-tools/stanley/
Mandaue,http://www.lazada.com.ph/mandaue-foam/shop-bedding/
Firefly,http://www.lazada.com.ph/shop-lighting/firefly/
Dewalt,http://www.lazada.com.ph/shop-power-tools/dewalt/
Bosch,http://www.lazada.com.ph/shop-power-tools/bosch/
Philflex,http://www.lazada.com.ph/shop-electrical/philflex/
Avent,http://www.lazada.com.ph/mother-baby/avent/
Fisher Price,http://www.lazada.com.ph/mother-baby/fisherprice/
MamyPoko,http://www.lazada.com.ph/mother-baby/mamypoko/
Goodbaby,http://www.lazada.com.ph/shop-baby-strollers/goodbaby/
Huggies,http://www.lazada.com.ph/mother-baby/huggies/
Tiny Buds,http://www.lazada.com.ph/mother-baby/tiny-buds/